yil,km,renk,fiyat,sehir,motor,yakit,paket,4matic
2015,129280.0,Beyaz,1554955.0000000000,İstanbul,180,D,AMG,False
2016,237600.0,Bej,1237500.0,İstanbul,200,CSI,AMG,False
2015,79014.00000000000,Beyaz,1572250.0,Kahramanmaraş,200,CSI,AMG,False
2014,180790.0,Siyah,1400850.0,Kocaeli,180,CDI,AMG,False
2015,211460.0,Beyaz,1324050.0,Nevşehir,180,CDI,AMG,False
2016,181800.0,Beyaz,1386000.0,İstanbul,180,D,AMG,False
2020,86330.0,Kırmızı,2786175.0000000000,İstanbul,180,D,AMG,False
2017,134596.0,Beyaz,1456268.0,Bursa,200,CSI,Comfort,False
2016,202600.00000000000,Mavi,1624750.0,Konya,200,CSI,AMG,False
2015,254257.50000000000,Beyaz,1163800.0,Mardin,180,D,AMG,False
2020,82984.0,Siyah,2323150.0,İstanbul,200,CSI,AMG,False
2020,67963.0,Siyah,2324835.0,İstanbul,200,CSI,AMG,False
2023,48581.0,Kırmızı,2838100.0,Bursa,200,CSI,AMG,False
2019,103020.0,Füme,2004850.0,İstanbul,200,CSI,AMG,False
2014,211860.0,Kırmızı,1419985.0000000000,Ankara,180,D,AMG,False
2013,149776.0,Gri,1376100.0,Bursa,200,CSI,AMG,False
2014,235480.00000000000,Beyaz,1212925.0000000000,İzmir,200,CSI,AMG,False
2021,106260.0,Gri,2352000.0,İstanbul,200,CSI,AMG,False
2013,211120.00000000000,Kırmızı,931000.0,İzmir,200,CSI,AMG,False
2014,348128.0,Beyaz,935807.5,İstanbul,180,D,AMG,False
2022,45540.0,Gri,2809520.0000000000,Kırşehir,200,CSI,AMG,False
2014,141400.0,Beyaz,1273020.0,İstanbul,200,CSI,Style,False
2014,184830.0,Beyaz,1291905.0,Ankara,200,CSI,AMG,False
2013,211680.0,Kırmızı,1426920.0,Kütahya,200,CSI,Urban,False
2020,78662.50000000000,Gri,2426135.0000000000,İstanbul,200,CSI,AMG,False
2014,183820.0,Beyaz,1337700.0,Sakarya,200,CSI,AMG,False
2014,241570.00000000000,Gri,1277650.0,İstanbul,200,CSI,AMG,False
2015,199955.00000000000,Gri,1333750.0,İstanbul,180,D,AMG,False
2014,187775.00000000000,Siyah,1280351.5,İstanbul,200,CSI,AMG,False
2022,36860.0,Mor,2542575.0000000000,İstanbul,200,CSI,AMG,False
2014,184184.0,Gri,1156400.0,İzmir,200,CSI,AMG,False
2023,54450.0,Siyah,2786850.0,Ankara,200,CSI,AMG,False
2020,94435.0,Beyaz,2267450.0,İstanbul,200,CSI,AMG,False
2021,43718.4,Gri,2513610.0,Kocaeli,200,CSI,AMG+,True
2022,42797.7,Beyaz,2727450.0,Ankara,200,CSI,AMG+,True
2015,203940.0,Beyaz,1347412.5000000000,Bursa,200,CSI,AMG,False
2023,50750.00000000000,Füme,5568750.0,İstanbul,45,S,AMG,False
2022,59463.10000000000,Beyaz,2488002.5,İstanbul,200,CSI,AMG+,True
2023,43668.812,Gri,2655250.0,İstanbul,200,CSI,AMG+,True
2023,28420.0,Beyaz,2658285.0000000000,Antalya,200,CSI,AMG,False
2022,53560.92,Gri,2660315.0000000000,Kocaeli,200,CSI,AMG+,True
2016,125488.0,Beyaz,1569150.0,Bursa,200,CSI,AMG,False
2015,162105.0,Beyaz,1548330.0,Bursa,200,CSI,AMG,False
2016,118800.0,Beyaz,1543402.0,Ankara,200,CSI,AMG,False
2016,149480.0,Beyaz,1448750.0,Çanakkale,180,D,AMG,False
2022,25690.5,Kırmızı,2722500.0,İstanbul,200,CSI,AMG,False
2015,225676.0,Beyaz,1296640.0000000000,Ankara,180,D,AMG,False
2015,137610.0,Beyaz,1460250.0,Malatya,180,D,AMG,False
2020,33495.0,Siyah,2537500.0000000000,Antalya,200,CSI,AMG,False
2016,197010.0,Siyah,1357550.0,Ankara,180,D,AMG,False
2014,228260.0,Beyaz,1315600.0,Konya,180,D,AMG,False
2014,111550.0,Beyaz,1459220.0,İstanbul,200,CSI,AMG,False
2014,223440.0,Kırmızı,1183050.0,İzmir,180,D,AMG,False
2015,69350.0,Beyaz,1651190.0000000000,Düzce,180,D,AMG,False
2014,165168.63,Kırmızı,1468596.7500000000,Antalya,180,D,AMG,False
2017,253000.0,Beyaz,1222200.0,İzmir,180,D,Comfort,False
2014,227700.0,Beyaz,1282447.5,Eskişehir,180,D,AMG,False
2016,161385.00000000000,Beyaz,1563100.0,Afyonkarahisar,180,D,AMG,False
2016,116850.0,Beyaz,1587600.0,Ankara,180,D,AMG,False
2015,176088.0,Beyaz,1522500.0000000000,Kocaeli,180,CDI,AMG,False
2020,132050.0,Kırmızı,2371801.25,Balıkesir,200,CSI,AMG,False
2017,64885.0,Kırmızı,1872675.0000000000,İstanbul,200,CSI,AMG,False
2014,333960.0,Beyaz,1018403.0,Kayseri,180,D,AMG,False
2016,170690.0,Kırmızı,1430750.0,Gaziantep,200,CSI,AMG,False
2023,42358.14,Gri,2645675.0,İstanbul,200,CSI,AMG+,True
2023,15959.860000000001,Gri,2871550.0,İstanbul,200,CSI,AMG,False
2019,172660.0,Beyaz,2156000.0,İzmir,180,D,AMG,False
2023,17221.0,Beyaz,2938425.0000000000,İstanbul,200,CSI,AMG,False
2023,6566.0,Siyah,2988350.0000000000,Denizli,200,CSI,AMG+,True
2018,88110.0,Beyaz,1994475.0000000000,Nevşehir,200,CSI,AMG,False
2014,199500.0,Beyaz,1270058.9879999999,Ankara,180,D,AMG,False
2014,115710.00000000000,Gri,1327900.0,İstanbul,200,CSI,AMG,False
2015,250470.0,Beyaz,1135250.0,İstanbul,200,CSI,Style,False
2015,134640.0,Siyah,1618188.0,İstanbul,200,CSI,AMG,False
2014,66930.0,Beyaz,1605350.0,Ankara,180,D,AMG,False
2015,141820.0,Beyaz,1416800.0,İstanbul,180,D,Urban,False
2017,133641.75,Siyah,1445867.5000000000,İstanbul,180,D,Comfort,False
2017,133602.8,Siyah,1367050.0,İstanbul,180,D,Comfort,False
2015,96040.0,Kırmızı,1503500.0,İstanbul,180,D,AMG,False
2023,22220.0,Beyaz,2955040.0,Ankara,200,CSI,AMG,False
2015,213840.0,Kırmızı,997500.0,İstanbul,200,CSI,Urban,False
2022,52470.0,Füme,2693567.0000000000,İstanbul,200,CSI,AMG+,True
2013,179190.0,Gri (Gümüş),1265000.0,Bursa,200,CSI,AMG,False
2017,63650.0,Siyah,2013880.0,İstanbul,200,CSI,AMG,False
2023,6187.5,Beyaz,3044824.7500000000,Bursa,200,CSI,AMG,False
2015,222130.0,Beyaz,1330000.0,Ankara,180,CDI,AMG,False
2014,128700.0,Gri,1424100.0,İstanbul,200,CSI,Style,False
2014,185220.0,Beyaz,1349950.0,Eskişehir,200,CSI,AMG,False
2013,159390.0,Beyaz,1091001.0,İstanbul,200,CSI,AMG,False
2013,191100.0,Kırmızı,1112300.0,Ankara,200,CSI,Urban,False
2024,11760.0,Füme,3141425.0000000000,İzmir,200,CSI,AMG,False
2017,168670.0,Kırmızı,1691750.0,Mersin,180,D,AMG,False
2015,163350.0,Beyaz,1494800.0,Bursa,180,D,AMG,False
2018,26600.0,Beyaz,2282060.0,Mersin,200,CSI,AMG,False
2016,145500.0,Lacivert,1565500.0,Tekirdağ,180,D,AMG,False
2022,42630.00000000000,Gri,2747250.0,Balıkesir,200,CSI,AMG,False
2013,237500.0,Beyaz,1163250.0,Antalya,200,CSI,Urban,False
2014,231081.94,Beyaz,1262500.0,İstanbul,180,D,AMG,False
2014,258315.00000000000,Beyaz,1239700.0,Samsun,200,CSI,AMG,False
2014,110675.0,Beyaz,1301850.0,İstanbul,180,D,AMG,False
2013,143080.0,Beyaz,1498650.0,Kütahya,200,CSI,AMG,False
2013,293125.23,Beyaz,1146950.0,Mersin,200,CSI,AMG,False
2022,49470.0,Siyah,3648925.0000000000,İstanbul,200,CSI,AMG,True
2013,249198.00000000000,Beyaz,1254000.0,Balıkesir,200,CSI,AMG,False
2017,185250.0,Siyah,1424050.0,Adana,180,D,AMG,False
2016,168150.0,Beyaz,1501185.0000000000,Adana,180,D,AMG,False
2016,93104.0,Beyaz,1672000.0,Antalya,200,CSI,AMG,False
2014,166980.0,Beyaz,1581100.0,İstanbul,200,CSI,AMG,False
2018,97020.0,Beyaz,1636200.0,Elazığ,180,D,Comfort,False
2016,95546.0,Beyaz,1727550.0,Ankara,200,CSI,AMG,False
